"Measurement export PQ-Box 200",,"Serial-No.: 1622-104",,,
,,,,,
"Measurement: EMPTY, EN50160 - IEC61000-2-2 LV - def, EMPTY, EMPTY",,,,,
,,,,,
"Interval: 600 sec",,,,,
"Voltage: 229.999 V",,,,,
,,,,,
,,,,,
"Date/Time: 2018/25/08","2019/07/02 15:00:00",12:00:00,,,
,,,,,
Date,Time,'P_L1_(15_min)_[W]','P_L2_(15_min)_[W]','P_L3_(15_min)_[W]','P_total_(15_min)_[W]'
2018/09/09,06:15:00,-0.326,0.244,0.001,-0.081
2018/09/09,06:30:00,-0.327,0.243,0.001,-0.083
2018/09/09,06:45:00,-0.325,0.245,0.001,-0.079
2018/09/09,07:00:00,-0.325,0.245,0.001,-0.08
2018/09/09,07:15:00,-0.325,0.244,0.001,-0.081
2018/09/09,07:30:00,-0.279,0.243,0.001,-0.036
2018/09/09,07:45:00,0.049,0.244,0,0.293
2018/09/09,08:00:00,25.08,0.334,0.001,25.415
2018/09/09,08:15:00,154.744,0.357,0.001,155.102
2018/09/09,08:30:00,336.69,0.362,0,337.052
2018/09/09,08:45:00,424.319,0.363,0,424.681
2018/09/09,09:00:00,148.714,0.353,0,149.067
2018/09/09,09:15:00,248.077,0.354,0,248.431
2018/09/09,09:30:00,150.892,0.348,0,151.241
2018/09/09,09:45:00,362.78,0.358,0,363.138
2018/09/09,10:00:00,261.644,0.352,0,261.996
2018/09/09,10:15:00,489.798,0.356,0,490.153
2018/09/09,10:30:00,1079.071,0.378,-0.002,1079.447
2018/09/09,10:45:00,915.652,0.374,-0.001,916.025
2018/09/09,11:00:00,1050.632,0.378,-0.002,1051.008
2018/09/09,11:15:00,1068.843,0.379,-0.002,1069.22
2018/09/09,11:30:00,856.864,0.368,-0.001,857.231
2018/09/09,11:45:00,769.85,0.366,-0.001,770.215
2018/09/09,12:00:00,791.047,0.368,-0.001,791.414
2018/09/09,12:15:00,1478.75,0.393,-0.002,1479.14
2018/09/09,12:30:00,1772.772,0.403,-0.004,1773.171
2018/09/09,12:45:00,2611.753,0.428,-0.006,2612.175
2018/09/09,13:00:00,1936.814,0.404,-0.004,1937.214
2018/09/09,13:15:00,2039.574,0.409,-0.004,2039.979
2018/09/09,13:30:00,1117.546,0.378,-0.002,1117.921
2018/09/09,13:45:00,815.719,0.367,-0.001,816.085
2018/09/09,14:00:00,808.39,0.364,-0.001,808.753
2018/09/09,14:15:00,916.243,0.368,-0.001,916.61
2018/09/09,14:30:00,815.432,0.368,-0.001,815.799
2018/09/09,14:45:00,811.225,0.369,-0.001,811.593
2018/09/09,15:00:00,809.471,0.369,-0.001,809.839
2018/09/09,15:15:00,766.128,0.366,-0.001,766.493
2018/09/09,15:30:00,555.423,0.359,-0.001,555.781
2018/09/09,15:45:00,443.772,0.355,0,444.127
2018/09/09,16:00:00,395.114,0.353,0,395.467
2018/09/09,16:15:00,417.597,0.356,0,417.952
2018/09/09,16:30:00,313.999,0.347,0,314.345
2018/09/09,16:45:00,310.888,0.347,0,311.235
2018/09/09,17:00:00,204.284,0.343,0,204.628
2018/09/09,17:15:00,253.362,0.348,0,253.71
2018/09/09,17:30:00,253.841,0.348,0,254.189
2018/09/09,17:45:00,175.311,0.343,0,175.655
2018/09/09,18:00:00,125.495,0.341,0,125.837
2018/09/09,18:15:00,78.185,0.341,0.001,78.526
2018/09/09,18:30:00,24.66,0.338,0.001,24.999
2018/09/09,18:45:00,1.934,0.255,0.001,2.189
2018/09/09,19:00:00,0.08,0.228,0,0.309
2018/09/09,19:15:00,-0.223,0.225,0,0.002
2018/09/09,19:30:00,-0.329,0.224,0,-0.105
